Kalenderwoche,Jahr,weiß XL,weiß L,weiß M,weiß S
30,2024,"21,70","11,90","10,90","10,15"
29,2024,"21,70","11,90","10,90","10,15"
28,2024,"21,70","12,00","11,00","10,25"
27,2024,"21,70","12,19","11,20","10,35"
26,2024,"21,70","12,34","11,35","10,47"
25,2024,"21,70","12,63","11,65","10,53"
24,2024,"21,70","12,80","11,80","10,60"
23,2024,"21,70","13,00","12,00","10,70"
22,2024,"21,75","13,45","12,45","10,85"
21,2024,"21,77","13,95","13,00","11,00"
20,2024,"21,78","14,20","13,18","11,00"
19,2024,"21,75","14,20","13,10","11,00"
18,2024,"21,75","14,20","13,10","11,00"
17,2024,"21,75","14,20","13,10","11,00"
16,2024,"21,75","14,20","13,20","11,00"
15,2024,"22,00","14,50","13,60","11,25"
14,2024,"22,50","15,13","14,23","11,88"
13,2024,"23,20","16,35","15,45","12,50"
12,2024,"23,20","16,40","15,50","12,50"
11,2024,"23,00","16,20","15,30","12,33"
10,2024,"23,00","15,95","15,00","12,30"
09,2024,"23,00","15,80","14,80","12,30"
08,2024,"23,05","15,75","14,73","12,20"
07,2024,"23,00","15,55","14,50","12,13"
06,2024,"23,00","15,40","14,35","12,10"
05,2024,"22,98","15,30","14,28","12,10"
04,2024,"22,85","15,25","14,18","12,00"
03,2024,"22,85","15,23","14,10","12,00"
02,2024,"22,90","15,23","14,13","12,00"
01,2024,"22,95","15,28","14,18","12,00"
52,2023,"23,00","15,35","14,23","12,00"
51,2023,"23,00","15,35","14,20","12,00"
50,2023,"23,00","15,35","14,20","12,00"
49,2023,"23,00","15,23","14,13","11,93"
48,2023,"22,98","15,20","14,10","11,90"
47,2023,"22,88","15,03","13,93","11,80"
46,2023,"22,75","14,90","13,80","11,70"
45,2023,"22,60","14,70","13,65","11,60"
44,2023,"22,50","14,60","13,60","11,55"
43,2023,"22,30","14,50","13,50","11,50"
42,2023,"22,10","14,35","13,35","11,40"
41,2023,"22,05","14,28","13,25","11,35"
40,2023,"21,95","14,20","13,20","11,30"
39,2023,"21,80","14,20","13,20","11,30"
38,2023,"21,70","14,10","13,10","11,25"
37,2023,"21,50","14,00","13,00","11,18"
36,2023,"21,30","13,75","12,75","11,00"
35,2023,"20,80","12,75","11,75","10,30"
34,2023,"20,50","12,25","11,25","10,00"
33,2023,"20,20","11,75","10,70","9,73"
32,2023,"19,80","11,25","10,10","9,40"
31,2023,"19,55","10,80","9,80","9,20"
30,2023,"19,50","10,78","9,78","9,18"
29,2023,"19,50","10,80","9,80","9,30"
28,2023,"19,50","11,00","10,00","9,50"
27,2023,"19,80","11,50","10,50","10,00"
26,2023,"20,30","12,50","11,50","11,00"
25,2023,"20,80","13,20","12,20","11,85"
24,2023,"21,25","14,00","13,00","12,70"
23,2023,"21,75","15,00","13,93","13,35"
22,2023,"22,10","15,50","14,40","13,50"
21,2023,"22,30","16,00","15,00","13,50"
20,2023,"22,40","16,50","15,70","13,50"
19,2023,"22,50","16,70","15,85","13,50"
18,2023,"22,50","16,90","16,10","13,50"
17,2023,"22,60","17,00","16,20","13,50"
16,2023,"22,68","17,23","16,28","13,50"
15,2023,"22,80","17,43","16,53","13,50"
13,2023,"23,00","17,68","16,75","13,55"
14,2023,"23,00","17,68","16,75","13,55"
12,2023,"23,00","17,65","16,75","13,50"
11,2023,"23,00","17,60","16,70","13,40"
10,2023,"22,95","17,45","16,50","13,25"
09,2023,"22,93","17,25","16,28","13,10"
08,2023,"22,93","17,03","16,05","12,95"
07,2023,"22,80","16,70","15,80","12,70"
06,2023,"22,73","16,45","15,60","12,53"
05,2023,"22,65","16,30","15,45","12,40"
04,2023,"22,60","16,20","15,35","12,30"
03,2023,"22,68","16,20","15,30","12,30"
02,2023,"22,75","16,20","15,20","12,30"
01,2023,"22,90","16,20","15,20","12,30"
52,2022,"22,95","16,20","15,20","12,30"
51,2022,"23,00","16,20","15,25","12,30"
50,2022,"22,98","16,18","15,25","12,23"
49,2022,"22,90","16,05","15,10","12,13"
48,2022,"22,90","16,00","15,00","12,00"
47,2022,"22,90","16,00","15,00","12,00"
46,2022,"22,90","16,00","15,00","12,00"
45,2022,"22,90","16,00","15,00","12,00"
44,2022,"22,90","16,00","15,00","12,00"
43,2022,"22,90","16,00","15,00","12,00"
42,2022,"22,80","15,70","14,70","11,70"
41,2022,"22,70","15,25","14,00","11,40"
40,2022,"22,50","14,80","13,30","11,00"
39,2022,"22,25","14,05","12,60","10,30"
38,2022,"21,75","13,30","11,85","10,00"
37,2022,"21,40","12,70","11,25","9,75"
36,2022,"21,00","12,23","10,75","9,50"
