URL,Marktbericht KW,Haltungsform,Label,weiß XL,weiß L,weiß M,weiß S
https://www.deu-eier.de/service/marktbericht/index.html,Marktbericht KW 30/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 11,90 (  0,00)"," 10,90 (  0,00)"," 10,15 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-28-2024-kopie.html,Marktbericht KW 29/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 11,90 ( -0,10)"," 10,90 ( -0,10)"," 10,15 ( -0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-28-2024.html,Marktbericht KW 28/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 12,00 ( -0,19)"," 11,00 ( -0,20)"," 10,25 ( -0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-26-2024-kopie.html,Marktbericht KW 27/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 12,19 ( -0,15)"," 11,20 ( -0,15)"," 10,35 ( -0,12)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-26-2024.html,Marktbericht KW 26/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 12,34 ( -0,29)"," 11,35 ( -0,30)"," 10,47 ( -0,06)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-24-2024-kopie.html,Marktbericht KW 25/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 12,63 ( -0,17)"," 11,65 ( -0,15)"," 10,53 ( -0,07)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-23-2024-kopie.html,Marktbericht KW 24/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 (  0,00)"," 12,80 ( -0,20)"," 11,80 ( -0,20)"," 10,60 ( -0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-23-2024.html,Marktbericht KW 23/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,70 ( -0,05)"," 13,00 ( -0,45)"," 12,00 ( -0,45)"," 10,70 ( -0,15)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-21-2024-kopie.html,Marktbericht KW 22/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,75 ( -0,02)"," 13,45 ( -0,50)"," 12,45 ( -0,55)"," 10,85 ( -0,15)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-20-2024-kopie.html,Marktbericht KW 21/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,77 ( -0,01)"," 13,95 ( -0,25)"," 13,00 ( -0,18)"," 11,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-19-2024-kopie.html,Marktbericht KW 20/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,78 (+0,03)"," 14,20 (  0,00)"," 13,18 (+0,08)"," 11,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-18-2024-kopie.html,Marktbericht KW 19/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,75 (  0,00)"," 14,20 (  0,00)"," 13,10 (  0,00)"," 11,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-17-2024-kopie.html,Marktbericht KW 18/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,75 (  0,00)"," 14,20 (  0,00)"," 13,10 (  0,00)"," 11,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-16-2024-kopie.html,Marktbericht KW 17/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,75 (  0,00)"," 14,20 (  0,00)"," 13,10 ( -0,10)"," 11,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-15-2024-kopie.html,Marktbericht KW 16/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 21,75 ( -0,25)"," 14,20 ( -0,30)"," 13,20 ( -0,40)"," 11,00 ( -0,25)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-14-2024-kopie.html,Marktbericht KW 15/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,00 ( -0,50)"," 14,50 ( -0,63)"," 13,60 ( -0,63)"," 11,25 ( -0,63)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-13-2024-kopie.html,Marktbericht KW 14/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,50 ( -0,70)"," 15,13 ( -1,22)"," 14,23 ( -1,22)"," 11,88 ( -0,62)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-12-2024-kopie.html,Marktbericht KW 13/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,20 (  0,00)"," 16,35 ( -0,05)"," 15,45 ( -0,05)"," 12,50 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-11-2024-kopie.html,Marktbericht KW 12/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,20 (+0,20)"," 16,40 (+0,20)"," 15,50 (+0,20)"," 12,50 (+0,17)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-10-2024-kopie.html,Marktbericht KW 11/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 16,20 (+0,25)"," 15,30 (+0,30)"," 12,33 (+0,03)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-09-2024-kopie.html,Marktbericht KW 10/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,95 (+0,15)"," 15,00 (+0,20)"," 12,30 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-08-2024-kopie.html,Marktbericht KW 09/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 ( -0,05)"," 15,80 (+0,05)"," 14,80 (+0,07)"," 12,30 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-07-2024-kopie.html,Marktbericht KW 08/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,05 (+0,05)"," 15,75 (+0,20)"," 14,73 (+0,23)"," 12,20 (+0,07)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-06-2024-kopie.html,Marktbericht KW 07/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,55 (+0,15)"," 14,50 (+0,15)"," 12,13 (+0,03)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-05-2024-kopie.html,Marktbericht KW 06/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (+0,02)"," 15,40 (+0,10)"," 14,35 (+0,07)"," 12,10 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-04-2024-kopie.html,Marktbericht KW 05/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,98 (+0,13)"," 15,30 (+0,05)"," 14,28 (+0,10)"," 12,10 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-03-2024-kopie.html,Marktbericht KW 04/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,85 (  0,00)"," 15,25 (+0,02)"," 14,18 (+0,08)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-02-2024-kopie.html,Marktbericht KW 03/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,85 ( -0,05)"," 15,23 (  0,00)"," 14,10 ( -0,03)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-01-2024-kopie.html,Marktbericht KW 02/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,90 ( -0,05)"," 15,23 ( -0,05)"," 14,13 ( -0,05)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-52-2023-kopie.html,Marktbericht KW 01/2024,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,95 ( -0,05)"," 15,28 ( -0,07)"," 14,18 ( -0,05)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-51-2023-kopie.html,Marktbericht KW 52/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,35 (  0,00)"," 14,23 (+0,03)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-50-2023-kopie.html,Marktbericht KW 51/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,35 (  0,00)"," 14,20 (  0,00)"," 12,00 (  0,00)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-49-2023-kopie.html,Marktbericht KW 50/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (  0,00)"," 15,35 (+0,12)"," 14,20 (+0,07)"," 12,00 (+0,07)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-48-2023-kopie.html,Marktbericht KW 49/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 23,00 (+0,02)"," 15,23 (+0,03)"," 14,13 (+0,03)"," 11,93 (+0,03)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-47-2023-kopie.html,Marktbericht KW 48/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,98 (+0,10)"," 15,20 (+0,17)"," 14,10 (+0,17)"," 11,90 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-46-2023-kopie.html,Marktbericht KW 47/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,88 (+0,13)"," 15,03 (+0,13)"," 13,93 (+0,13)"," 11,80 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-45-2023-kopie.html,Marktbericht KW 46/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,75 (+0,15)"," 14,90 (+0,20)"," 13,80 (+0,15)"," 11,70 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-44-2023-kopie.html,Marktbericht KW 45/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,60 (+0,10)"," 14,70 (+0,10)"," 13,65 (+0,05)"," 11,60 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-43-2023-kopie.html,Marktbericht KW 44/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,50 (+0,20)"," 14,60 (+0,10)"," 13,60 (+0,10)"," 11,55 (+0,05)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-42-2023-kopie.html,Marktbericht KW 43/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,30 (+0,20) "," 14,50 (+0,15)"," 13,50 (+0,15)"," 11,50 (+0,10)"
https://www.deu-eier.de/service/marktbericht/marktbericht-kw-41-2023-kopie.html,Marktbericht KW 42/2023,Weser-Ems-Notierung/ Bodenhaltung,"(deutsch KAT, OKT)"," 22,10 (+0,05) "," 14,35 (+0,07)"," 13,35 (+0,10)"," 11,40 (+0,05)"
